time	V(drain)	V(drain)/Id(M1)
Step Information: Vdd=500m  (Run: 1/14)
0.000000000000000e+000	5.000000e-001	4.452144e+005
9.765624960978488e-016	5.000000e-001	4.452667e+005
1.953124992195698e-015	5.000000e-001	4.452841e+005
9.827253124949010e-008	3.937019e-001	3.779157e+005
9.993268749949014e-008	3.919734e-001	3.767287e+005
1.000000000000000e-007	3.919034e-001	3.766805e+005
Step Information: Vdd=600m  (Run: 2/14)
0.000000000000000e+000	6.000000e-001	1.029212e+005
9.765624960978488e-016	6.000000e-001	1.029332e+005
1.953124992195698e-015	6.000000e-001	1.029372e+005
2.698346874948847e-008	4.479908e-001	8.233582e+004
5.032331249948894e-008	3.248400e-001	6.356317e+004
6.926862499948940e-008	2.307176e-001	4.789061e+004
8.254987499948972e-008	1.684049e-001	3.701731e+004
9.016706249948991e-008	1.345717e-001	3.116294e+004
9.573346874949004e-008	1.111893e-001	2.733449e+004
9.817487499949010e-008	1.014271e-001	2.583521e+004
9.993268749949014e-008	9.462598e-002	2.483482e+004
1.000000000000000e-007	9.436955e-002	2.479780e+004
Step Information: Vdd=700m  (Run: 3/14)
0.000000000000000e+000	7.000000e-001	4.585996e+004
9.765624960978488e-016	7.000000e-001	4.586534e+004
1.953124992195698e-015	7.000000e-001	4.586713e+004
1.340924999948857e-008	5.012426e-001	3.485876e+004
2.424909374948850e-008	3.495010e-001	2.571026e+004
3.137799999948848e-008	2.548864e-001	1.975102e+004
3.538190624948858e-008	2.043205e-001	1.659707e+004
3.821393749948865e-008	1.703020e-001	1.458970e+004
4.055768749948871e-008	1.437726e-001	1.315479e+004
4.290143749948876e-008	1.192427e-001	1.196207e+004
4.504987499948882e-008	9.891929e-002	1.107622e+004
4.690534374948886e-008	8.323987e-002	1.045301e+004
4.856549999948890e-008	7.075199e-002	9.991371e+003
5.012799999948894e-008	6.032786e-002	9.627897e+003
5.159284374948897e-008	5.169021e-002	9.340832e+003
5.305768749948901e-008	4.409364e-002	9.098348e+003
5.442487499948904e-008	3.787903e-002	8.906592e+003
5.579206249948908e-008	3.244130e-002	8.743484e+003
5.715924999948911e-008	2.770959e-002	8.604981e+003
5.842878124948914e-008	2.388547e-002	8.495302e+003
5.969831249948917e-008	2.055236e-002	8.401311e+003
6.096784374948920e-008	1.765671e-002	8.320841e+003
6.223737499948923e-008	1.514834e-002	8.252008e+003
6.350690624948926e-008	1.298090e-002	8.193173e+003
6.477643749948929e-008	1.111213e-002	8.142918e+003
6.614362499948932e-008	9.390024e-003	8.096989e+003
6.751081249948936e-008	7.927820e-003	8.058275e+003
6.887799999948939e-008	6.688299e-003	8.025660e+003
7.024518749948942e-008	5.638991e-003	7.998194e+003
7.171003124948946e-008	4.693905e-003	7.973567e+003
7.317487499948949e-008	3.905191e-003	7.953098e+003
7.473737499948953e-008	3.207878e-003	7.935061e+003
7.629987499948957e-008	2.634007e-003	7.920259e+003
7.796003124948961e-008	2.135539e-003	7.907435e+003
7.971784374948965e-008	1.709598e-003	7.896499e+003
8.167096874948970e-008	1.334768e-003	7.886892e+003
8.381940624948975e-008	1.016333e-003	7.878743e+003
8.616315624948981e-008	7.547163e-004	7.872057e+003
8.879987499948987e-008	5.398373e-004	7.866572e+003
9.192487499948995e-008	3.628141e-004	7.862056e+003
9.573346874949004e-008	2.234838e-004	7.858506e+003
9.817487499949010e-008	1.637978e-004	7.856985e+003
9.993268749949014e-008	1.309584e-004	7.856149e+003
1.000000000000000e-007	1.298376e-004	7.856120e+003
Step Information: Vdd=800m  (Run: 4/14)
0.000000000000000e+000	8.000000e-001	2.907256e+004
9.765624960978488e-016	8.000000e-001	2.907596e+004
1.953124992195698e-015	8.000000e-001	2.907710e+004
9.210031249488543e-009	5.532221e-001	2.123438e+004
1.604596874948857e-008	3.794089e-001	1.534528e+004
1.956159374948854e-008	2.941700e-001	1.241886e+004
2.171003124948852e-008	2.442802e-001	1.076903e+004
2.337018749948850e-008	2.075257e-001	9.640577e+003
2.493268749948849e-008	1.750074e-001	8.737721e+003
2.649518749948847e-008	1.451369e-001	7.997074e+003
2.786237499948846e-008	1.215866e-001	7.470476e+003
2.903424999948845e-008	1.035013e-001	7.097401e+003
3.010846874948845e-008	8.867625e-002	6.810154e+003
3.118268749948848e-008	7.551250e-002	6.568085e+003
3.215924999948850e-008	6.493640e-002	6.381893e+003
3.313581249948853e-008	5.561220e-002	6.223531e+003
3.401471874948855e-008	4.821846e-002	6.101639e+003
3.489362499948857e-008	4.169625e-002	5.996716e+003
3.577253124948859e-008	3.597065e-002	5.906551e+003
3.665143749948861e-008	3.096602e-002	5.829187e+003
3.753034374948863e-008	2.660835e-002	5.762895e+003
3.840924999948865e-008	2.282681e-002	5.706158e+003
3.928815624948868e-008	1.955496e-002	5.657651e+003
4.016706249948870e-008	1.673146e-002	5.616218e+003
4.104596874948872e-008	1.430037e-002	5.580856e+003
4.192487499948874e-008	1.221125e-002	5.550696e+003
4.280378124948876e-008	1.041904e-002	5.524989e+003
4.368268749948878e-008	8.883787e-003	5.503089e+003
4.456159374948880e-008	7.570311e-003	5.484441e+003
4.544049999948883e-008	6.447788e-003	5.468568e+003
4.631940624948885e-008	5.489347e-003	5.455061e+003
4.719831249948887e-008	4.671654e-003	5.443571e+003
4.807721874948889e-008	3.974513e-003	5.433800e+003
4.905378124948891e-008	3.320189e-003	5.424649e+003
5.003034374948894e-008	2.772815e-003	5.417010e+003
5.100690624948896e-008	2.315144e-003	5.410632e+003
5.208112499948899e-008	1.898033e-003	5.404828e+003
5.315534374948901e-008	1.555770e-003	5.400071e+003
5.432721874948904e-008	1.252155e-003	5.395856e+003
5.559674999948907e-008	9.895529e-004	5.392214e+003
5.696393749948911e-008	7.678717e-004	5.389142e+003
5.852643749948914e-008	5.745599e-004	5.386465e+003
6.028424999948918e-008	4.145468e-004	5.384250e+003
6.233503124948923e-008	2.832194e-004	5.382433e+003
6.477643749948929e-008	1.799280e-004	5.381004e+003
6.790143749948936e-008	1.006581e-004	5.379908e+003
7.219831249948947e-008	4.528401e-005	5.379143e+003
7.932721874948964e-008	1.203191e-005	5.378683e+003
9.817487499949010e-008	3.617682e-007	5.378522e+003
9.993268749949014e-008	2.609029e-007	5.378521e+003
1.000000000000000e-007	2.576433e-007	5.378516e+003
Step Information: Vdd=900m  (Run: 5/14)
0.000000000000000e+000	9.000000e-001	2.173561e+004
9.765624960978488e-016	9.000000e-001	2.173816e+004
1.953124992195698e-015	8.999999e-001	2.173901e+004
7.159249999488530e-009	6.107401e-001	1.551673e+004
1.204206249948856e-008	4.226876e-001	1.126020e+004
1.438581249948858e-008	3.362316e-001	9.308171e+003
1.594831249948857e-008	2.809012e-001	8.122488e+003
1.712018749948856e-008	2.413312e-001	7.345983e+003
