time	V(drain)	Id(M1)
0.000000000000000e+000	5.500000e-001	3.488971e-006
9.765624940649698e-012	5.499659e-001	3.488208e-006
1.953124988129940e-011	5.499319e-001	3.487912e-006
1.144531243044145e-008	5.105150e-001	3.419172e-006
2.287109361100160e-008	4.721819e-001	3.348538e-006
3.429687479156175e-008	4.349325e-001	3.276009e-006
4.572265597212190e-008	3.987668e-001	3.201586e-006
5.714843715268204e-008	3.636848e-001	3.125267e-006
6.857421833324220e-008	3.296866e-001	3.047054e-006
7.999999951380232e-008	2.967721e-001	2.966947e-006
1.599999990276046e-007	8.834463e-002	1.981677e-006
1.897010813063432e-007	3.118849e-002	1.186143e-006
2.053033980703129e-007	1.425360e-002	6.651608e-007
2.169858557755984e-007	7.574274e-003	3.762876e-007
2.242783167799972e-007	5.158831e-003	2.614640e-007
2.347028811382906e-007	3.051315e-003	1.568471e-007
2.441636705578423e-007	1.871516e-003	9.705504e-008
2.576226533377375e-007	9.411337e-004	4.911642e-008
2.704903508367449e-007	4.786682e-004	2.507575e-008
2.890458979489773e-007	1.876905e-004	9.853045e-009
3.090283268920048e-007	6.578837e-005	3.457733e-009
3.398474675645289e-007	1.445795e-005	7.602282e-010
4.502643431387509e-007	-2.740951e-008	-1.441842e-012
9.700618941465000e-004	0.000000e+000	0.000000e+000
9.993587691464975e-004	0.000000e+000	0.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000
