time	V(drain)	Id(M1)
0.000000000000000e+000	1.000000e+000	7.942386e-005
9.765624940649698e-012	9.992247e-001	7.940022e-005
1.953124988129940e-011	9.984494e-001	7.938721e-005
7.310267812714919e-010	9.420063e-001	7.889345e-005
1.442522312661685e-009	8.863264e-001	7.830074e-005
2.154017844051877e-009	8.314097e-001	7.760911e-005
2.865513375442070e-009	7.772563e-001	7.681853e-005
3.577008906832262e-009	7.238660e-001	7.592902e-005
4.288504438222455e-009	6.712390e-001	7.494057e-005
4.999999969612645e-009	6.193751e-001	7.385318e-005
9.999999939225290e-009	2.801566e-001	5.850293e-005
1.232115379515617e-008	1.518757e-001	4.351775e-005
1.399166074107180e-008	8.963444e-002	2.968087e-005
1.604145741476870e-008	4.139768e-002	1.527181e-005
1.691778862193353e-008	2.833492e-002	1.084319e-005
1.775123639170816e-008	2.056445e-002	7.991783e-006
1.877785263704259e-008	1.384025e-002	5.448599e-006
1.987366112534408e-008	8.917592e-003	3.546182e-006
2.089599465666359e-008	5.881233e-003	2.353695e-006
2.195674145290134e-008	3.846362e-003	1.545666e-006
2.317809566877378e-008	2.368707e-003	9.546704e-007
2.458401129096910e-008	1.354950e-003	5.472201e-007
2.624291363500570e-008	7.012888e-004	2.836156e-007
2.821270077414493e-008	3.214674e-004	1.301169e-007
3.066418403723550e-008	1.227311e-004	4.969975e-008
3.381564473556646e-008	3.578197e-005	1.449322e-008
3.817040145552659e-008	6.454530e-006	2.614616e-009
4.469146991693462e-008	3.179647e-007	1.288081e-010
9.663344071851055e-004	-1.946143e-017	0.000000e+000
9.995375321851031e-004	5.134532e-015	0.000000e+000
1.000000000000000e-003	9.776549e-015	0.000000e+000
