vdd	i_max
-1.800000000000000e+000	5.974220e-016
-1.700000000000000e+000	5.972620e-016
-1.600000000000000e+000	5.969730e-016
-1.500000000000000e+000	5.964290e-016
-1.400000000000000e+000	5.953650e-016
-1.300000000000000e+000	5.931700e-016
-1.200000000000000e+000	5.884240e-016
-1.100000000000000e+000	5.780740e-016
-1.000000000000000e+000	5.576980e-016
-9.000000000000000e-001	5.270850e-016
-8.000000000000000e-001	4.946340e-016
-7.000000000000000e-001	4.677810e-016
-6.000000000000000e-001	4.476080e-016
-5.000000000000000e-001	4.325840e-016
-4.000000000000000e-001	4.211410e-016
-3.000000000000000e-001	4.121710e-016
-2.000000000000000e-001	4.049460e-016
-1.000000000000000e-001	3.989890e-016
4.163340000000000e-016	3.939790e-016
1.000000000000000e-001	3.897060e-016
2.000000000000000e-001	3.861580e-016
3.000000000000000e-001	3.854240e-016
4.000000000000000e-001	4.149290e-016
5.000000000000000e-001	5.419920e-016
6.000000000000000e-001	5.941350e-016
7.000000000000000e-001	5.986360e-016
8.000000000000000e-001	5.987950e-016
9.000000000000000e-001	5.986800e-016
1.000000000000000e+000	5.985660e-016
1.100000000000000e+000	5.984660e-016
1.200000000000000e+000	5.983790e-016
1.300000000000000e+000	5.983040e-016
1.400000000000000e+000	5.982380e-016
1.500000000000000e+000	5.981800e-016
1.600000000000000e+000	5.981280e-016
1.700000000000000e+000	5.980820e-016
1.800000000000000e+000	5.980410e-016
