vdd	i_max
-1.800000000000000e+000	5.974200e-016
-1.700000000000000e+000	6.119120e-016
-1.600000000000000e+000	6.116190e-016
-1.500000000000000e+000	5.964310e-016
-1.400000000000000e+000	5.974740e-016
-1.300000000000000e+000	5.931720e-016
-1.200000000000000e+000	5.884260e-016
-1.100000000000000e+000	5.780740e-016
-1.000000000000000e+000	5.713800e-016
-9.000000000000000e-001	5.270840e-016
-8.000000000000000e-001	4.946370e-016
-7.000000000000000e-001	4.677820e-016
-6.000000000000000e-001	4.476080e-016
-5.000000000000000e-001	4.609500e-016
-4.000000000000000e-001	4.233250e-016
-3.000000000000000e-001	4.226470e-016
-2.000000000000000e-001	4.049470e-016
-1.000000000000000e-001	4.017390e-016
4.163340000000000e-016	3.939780e-016
1.000000000000000e-001	3.897050e-016
2.000000000000000e-001	3.887740e-016
3.000000000000000e-001	3.948780e-016
4.000000000000000e-001	4.251060e-016
5.000000000000000e-001	5.419930e-016
6.000000000000000e-001	6.014440e-016
7.000000000000000e-001	6.659340e-016
8.000000000000000e-001	6.519630e-016
9.000000000000000e-001	5.986840e-016
1.000000000000000e+000	5.985680e-016
1.100000000000000e+000	6.104920e-016
1.200000000000000e+000	5.983780e-016
1.300000000000000e+000	6.282350e-016
1.400000000000000e+000	5.982350e-016
1.500000000000000e+000	6.394870e-016
1.600000000000000e+000	6.995220e-016
1.700000000000000e+000	6.127660e-016
1.800000000000000e+000	6.127210e-016
