time	Ig(M1)
Step Information: Vdd=-1.8  (Run: 1/37)
0.000000000000000e+000	0.000000e+000
4.188413037469344e-002	4.422885e-016
8.466945938349063e-002	-2.961223e-016
1.272451370987275e-001	1.875454e-017
1.698841303746935e-001	4.422886e-016
2.126694593834906e-001	-2.961223e-016
2.552451370987275e-001	1.875454e-017
2.978841303746936e-001	4.422886e-016
3.406694593834906e-001	-2.961223e-016
3.832451370987274e-001	1.875454e-017
4.258841303746933e-001	4.422886e-016
4.686694593834906e-001	-2.961223e-016
5.112451370987274e-001	1.875454e-017
5.538841303746932e-001	4.422886e-016
5.966694593834905e-001	-2.961223e-016
6.392451370987274e-001	1.875454e-017
6.818841303746934e-001	4.422886e-016
7.246694593834907e-001	-2.961223e-016
7.672451370987274e-001	1.875454e-017
8.098841303746942e-001	4.422886e-016
8.526694593834905e-001	-2.961223e-016
8.952451370987274e-001	1.875454e-017
9.378841303746938e-001	4.422886e-016
9.806694593834908e-001	-2.961223e-016
9.999737790217871e-001	5.974218e-016
1.000000000000000e+000	5.779160e-016
Step Information: Vdd=-1.7  (Run: 2/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.718934e-016
8.463253453888382e-002	-4.075361e-016
1.272298585342137e-001	7.745874e-017
1.698241870394902e-001	2.718934e-016
2.126325345388838e-001	-4.075361e-016
2.552298585342136e-001	7.745875e-017
2.978241870394902e-001	2.718934e-016
3.406325345388839e-001	-4.075361e-016
3.832298585342137e-001	7.745874e-017
4.258241870394900e-001	2.718934e-016
4.686325345388837e-001	-4.075361e-016
5.112298585342137e-001	7.745875e-017
5.538241870394900e-001	2.718934e-016
5.966325345388837e-001	-4.075361e-016
6.392298585342136e-001	7.745874e-017
6.818241870394901e-001	2.718934e-016
7.246325345388839e-001	-4.075361e-016
7.672298585342138e-001	7.745875e-017
8.098241870394906e-001	2.718934e-016
8.526325345388837e-001	-4.075361e-016
8.952298585342136e-001	7.745874e-017
9.378241870394903e-001	2.718934e-016
9.806325345388840e-001	-4.075361e-016
9.999737790217871e-001	5.972624e-016
1.000000000000000e+000	5.777456e-016
Step Information: Vdd=-1.6  (Run: 3/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.717616e-016
8.463253453888382e-002	-4.073385e-016
1.272298585342137e-001	7.742113e-017
1.698241870394902e-001	2.717616e-016
2.126325345388838e-001	-4.073385e-016
2.552298585342136e-001	7.742113e-017
2.978241870394902e-001	2.717616e-016
3.406325345388839e-001	-4.073385e-016
3.832298585342137e-001	7.742113e-017
4.258241870394900e-001	2.717616e-016
4.686325345388837e-001	-4.073385e-016
5.112298585342137e-001	7.742113e-017
5.538241870394900e-001	2.717616e-016
5.966325345388837e-001	-4.073385e-016
6.392298585342136e-001	7.742113e-017
6.818241870394901e-001	2.717616e-016
7.246325345388839e-001	-4.073385e-016
7.672298585342138e-001	7.742113e-017
8.098241870394906e-001	2.717616e-016
8.526325345388837e-001	-4.073385e-016
8.952298585342136e-001	7.742113e-017
9.378241870394903e-001	2.717616e-016
9.806325345388840e-001	-4.073385e-016
9.999737790217871e-001	5.969727e-016
1.000000000000000e+000	5.774354e-016
Step Information: Vdd=-1.5  (Run: 4/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.715144e-016
8.463253453888382e-002	-4.069680e-016
1.272298585342137e-001	7.735058e-017
1.698241870394902e-001	2.715144e-016
2.126325345388838e-001	-4.069680e-016
2.552298585342136e-001	7.735059e-017
2.978241870394902e-001	2.715144e-016
3.406325345388839e-001	-4.069680e-016
3.832298585342137e-001	7.735058e-017
4.258241870394900e-001	2.715145e-016
4.686325345388837e-001	-4.069680e-016
5.112298585342137e-001	7.735059e-017
5.538241870394900e-001	2.715144e-016
5.966325345388837e-001	-4.069680e-016
6.392298585342136e-001	7.735059e-017
6.818241870394901e-001	2.715144e-016
7.246325345388839e-001	-4.069680e-016
7.672298585342138e-001	7.735059e-017
8.098241870394906e-001	2.715145e-016
8.526325345388837e-001	-4.069680e-016
8.952298585342136e-001	7.735059e-017
9.378241870394903e-001	2.715144e-016
9.806325345388840e-001	-4.069680e-016
9.999737790217871e-001	5.964294e-016
1.000000000000000e+000	5.768498e-016
Step Information: Vdd=-1.4  (Run: 5/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.710303e-016
8.463253453888382e-002	-4.062423e-016
1.272298585342137e-001	7.721239e-017
1.698241870394902e-001	2.710303e-016
2.126325345388838e-001	-4.062423e-016
2.552298585342136e-001	7.721239e-017
2.978241870394902e-001	2.710303e-016
3.406325345388839e-001	-4.062423e-016
3.832298585342137e-001	7.721239e-017
4.258241870394900e-001	2.710303e-016
4.686325345388837e-001	-4.062423e-016
5.112298585342137e-001	7.721239e-017
5.538241870394900e-001	2.710303e-016
5.966325345388837e-001	-4.062423e-016
6.392298585342136e-001	7.721239e-017
6.818241870394901e-001	2.710303e-016
7.246325345388839e-001	-4.062423e-016
7.672298585342138e-001	7.721239e-017
8.098241870394906e-001	2.710303e-016
8.526325345388837e-001	-4.062423e-016
8.952298585342136e-001	7.721239e-017
9.378241870394903e-001	2.710303e-016
9.806325345388840e-001	-4.062423e-016
9.999737790217871e-001	5.953651e-016
1.000000000000000e+000	5.756942e-016
Step Information: Vdd=-1.3  (Run: 6/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.700321e-016
8.463253453888382e-002	-4.047458e-016
1.272298585342137e-001	7.692739e-017
1.698241870394902e-001	2.700321e-016
2.126325345388838e-001	-4.047458e-016
2.552298585342136e-001	7.692739e-017
2.978241870394902e-001	2.700321e-016
3.406325345388839e-001	-4.047458e-016
3.832298585342137e-001	7.692739e-017
4.258241870394900e-001	2.700321e-016
4.686325345388837e-001	-4.047458e-016
5.112298585342137e-001	7.692739e-017
5.538241870394900e-001	2.700321e-016
5.966325345388837e-001	-4.047458e-016
6.392298585342136e-001	7.692739e-017
6.818241870394901e-001	2.700321e-016
7.246325345388839e-001	-4.047458e-016
7.672298585342138e-001	7.692739e-017
8.098241870394906e-001	2.700321e-016
8.526325345388837e-001	-4.047458e-016
8.952298585342136e-001	7.692739e-017
9.378241870394903e-001	2.700321e-016
9.806325345388840e-001	-4.047458e-016
9.999737790217871e-001	5.931706e-016
1.000000000000000e+000	5.732916e-016
Step Information: Vdd=-1.2  (Run: 7/37)
0.000000000000000e+000	0.000000e+000
4.182418703949011e-002	2.678739e-016
8.463253453888382e-002	-4.015103e-016
1.272298585342137e-001	7.631112e-017
1.698241870394902e-001	2.678739e-016
2.126325345388838e-001	-4.015103e-016
2.552298585342136e-001	7.631112e-017
2.978241870394902e-001	2.678739e-016
3.406325345388839e-001	-4.015103e-016
3.832298585342137e-001	7.631112e-017
4.258241870394900e-001	2.678739e-016
4.686325345388837e-001	-4.015103e-016
5.112298585342137e-001	7.631112e-017
5.538241870394900e-001	2.678739e-016
