Circuit: * Z:\home\solomon\VLSI\Assignments\Assignment 2\Simulation\Q2_nmos_lc.asc

Ignoring BSIM parameter XL
Ignoring BSIM parameter XW
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Direct Newton iteration for .op point succeeded.
.step vdd=-1.8
.step vdd=-1.7
.step vdd=-1.6
.step vdd=-1.5
.step vdd=-1.4
.step vdd=-1.3
.step vdd=-1.2
.step vdd=-1.1
.step vdd=-1
.step vdd=-0.9
.step vdd=-0.8
.step vdd=-0.7
.step vdd=-0.6
.step vdd=-0.5
.step vdd=-0.4
.step vdd=-0.3
.step vdd=-0.2
.step vdd=-0.1
.step vdd=4.16334e-016
.step vdd=0.1
.step vdd=0.2
.step vdd=0.3
.step vdd=0.4
.step vdd=0.5
.step vdd=0.6
.step vdd=0.7
.step vdd=0.8
.step vdd=0.9
.step vdd=1
.step vdd=1.1
.step vdd=1.2
.step vdd=1.3
.step vdd=1.4
.step vdd=1.5
.step vdd=1.6
.step vdd=1.7
.step vdd=1.8


Measurement: i_rms
  step	RMS(ig(m1))	FROM	TO
     1	4.56879e-013	0	1e-007
     2	4.318e-013	0	1e-007
     3	4.3088e-013	0	1e-007
     4	4.29105e-013	0	1e-007
     5	4.25585e-013	0	1e-007
     6	4.18303e-013	0	1e-007
     7	4.03092e-013	0	1e-007
     8	3.74231e-013	0	1e-007
     9	3.31375e-013	0	1e-007
    10	2.85151e-013	0	1e-007
    11	2.45972e-013	0	1e-007
    12	2.16072e-013	0	1e-007
    13	1.93636e-013	0	1e-007
    14	1.76486e-013	0	1e-007
    15	1.63052e-013	0	1e-007
    16	1.52245e-013	0	1e-007
    17	1.43326e-013	0	1e-007
    18	1.35856e-013	0	1e-007
    19	1.29477e-013	0	1e-007
    20	1.24147e-013	0	1e-007
    21	1.22305e-013	0	1e-007
    22	1.5874e-013	0	1e-007
    23	3.41851e-013	0	1e-007
    24	4.27178e-013	0	1e-007
    25	4.34715e-013	0	1e-007
    26	4.34951e-013	0	1e-007
    27	4.3478e-013	0	1e-007
    28	4.34599e-013	0	1e-007
    29	4.34414e-013	0	1e-007
    30	4.34289e-013	0	1e-007
    31	4.34138e-013	0	1e-007
    32	4.34005e-013	0	1e-007
    33	4.33931e-013	0	1e-007
    34	4.33861e-013	0	1e-007
    35	4.33803e-013	0	1e-007
    36	4.33733e-013	0	1e-007
    37	4.3364e-013	0	1e-007

Measurement: i_avg
  step	AVG(ig(m1))	FROM	TO
     1	-6.56884e-014	0	1e-007
     2	7.90464e-014	0	1e-007
     3	7.88882e-014	0	1e-007
     4	7.85406e-014	0	1e-007
     5	7.79148e-014	0	1e-007
     6	7.65745e-014	0	1e-007
     7	7.37922e-014	0	1e-007
     8	6.85162e-014	0	1e-007
     9	6.06896e-014	0	1e-007
    10	5.21942e-014	0	1e-007
    11	4.50282e-014	0	1e-007
    12	3.95736e-014	0	1e-007
    13	3.54295e-014	0	1e-007
    14	3.23271e-014	0	1e-007
    15	2.98436e-014	0	1e-007
    16	2.78953e-014	0	1e-007
    17	2.62447e-014	0	1e-007
    18	2.48999e-014	0	1e-007
    19	2.37135e-014	0	1e-007
    20	2.27232e-014	0	1e-007
    21	2.23665e-014	0	1e-007
    22	2.90819e-014	0	1e-007
    23	6.25601e-014	0	1e-007
    24	7.82415e-014	0	1e-007
    25	7.95724e-014	0	1e-007
    26	7.96391e-014	0	1e-007
    27	7.95781e-014	0	1e-007
    28	7.95737e-014	0	1e-007
    29	7.95594e-014	0	1e-007
    30	7.94743e-014	0	1e-007
    31	7.94515e-014	0	1e-007
    32	7.94715e-014	0	1e-007
    33	7.93429e-014	0	1e-007
    34	7.93552e-014	0	1e-007
    35	7.93393e-014	0	1e-007
    36	7.93996e-014	0	1e-007
    37	7.94468e-014	0	1e-007

Measurement: i_max
  step	MAX(ig(m1))	FROM	TO
     1	1.27172e-012	0	1e-007
     2	1.27018e-012	0	1e-007
     3	1.26748e-012	0	1e-007
     4	1.23202e-012	0	1e-007
     5	1.25193e-012	0	1e-007
     6	1.23046e-012	0	1e-007
     7	1.29607e-012	0	1e-007
     8	1.10083e-012	0	1e-007
     9	9.74722e-013	0	1e-007
    10	8.38753e-013	0	1e-007
    11	7.23544e-013	0	1e-007
    12	6.35619e-013	0	1e-007
    13	5.69566e-013	0	1e-007
    14	5.19158e-013	0	1e-007
    15	4.7961e-013	0	1e-007
    16	4.4782e-013	0	1e-007
    17	4.21634e-013	0	1e-007
    18	3.99723e-013	0	1e-007
    19	3.80776e-013	0	1e-007
    20	3.65219e-013	0	1e-007
    21	3.59712e-013	0	1e-007
    22	4.66882e-013	0	1e-007
    23	1.00566e-012	0	1e-007
    24	1.22653e-012	0	1e-007
    25	1.27865e-012	0	1e-007
    26	1.27942e-012	0	1e-007
    27	1.2788e-012	0	1e-007
    28	1.27842e-012	0	1e-007
    29	1.27796e-012	0	1e-007
    30	1.2775e-012	0	1e-007
    31	1.27711e-012	0	1e-007
    32	1.2768e-012	0	1e-007
    33	1.27649e-012	0	1e-007
    34	1.27634e-012	0	1e-007
    35	1.27603e-012	0	1e-007
    36	1.27572e-012	0	1e-007
    37	1.27557e-012	0	1e-007


Date: Tue Nov 02 09:39:26 2021
Total elapsed time: 8.099 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 80021
traniter = 80018
tranpoints = 40010
accept = 24014
rejected = 15996
matrix size = 2
fillins = 0
solver = Normal
Matrix Compiler1:       2 opcodes  0.1/0.1/[0.0]
Matrix Compiler2:       9 opcodes  0.1/[0.1]/0.1

