Circuit: * Z:\home\solomon\VLSI\Assignments\Assignment 2\Simulation\Q2_nmos_sc.asc

Ignoring BSIM parameter XL
Ignoring BSIM parameter XW
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Direct Newton iteration for .op point succeeded.
.step vdd=-1.8
.step vdd=-1.72
.step vdd=-1.64
.step vdd=-1.56
.step vdd=-1.48
.step vdd=-1.4
.step vdd=-1.32
.step vdd=-1.24
.step vdd=-1.16
.step vdd=-1.08
.step vdd=-1
.step vdd=-0.92
.step vdd=-0.84
.step vdd=-0.76
.step vdd=-0.68
.step vdd=-0.6
.step vdd=-0.52
.step vdd=-0.44
.step vdd=-0.36
.step vdd=-0.28
.step vdd=-0.2
.step vdd=-0.12
.step vdd=-0.04
.step vdd=0.04
.step vdd=0.12
.step vdd=0.2
.step vdd=0.28
.step vdd=0.36
.step vdd=0.44
.step vdd=0.52
.step vdd=0.6
.step vdd=0.68
.step vdd=0.76
.step vdd=0.84
.step vdd=0.92
.step vdd=1
.step vdd=1.08
.step vdd=1.16
.step vdd=1.24
.step vdd=1.32
.step vdd=1.4
.step vdd=1.48
.step vdd=1.56
.step vdd=1.64
.step vdd=1.72
.step vdd=1.8


Measurement: i_rms
  step	RMS(ig(m1))	FROM	TO
     1	4.33067e-016	0	1
     2	3.93605e-016	0	1
     3	3.93489e-016	0	1
     4	3.93299e-016	0	1
     5	3.92981e-016	0	1
     6	3.92433e-016	0	1
     7	3.91458e-016	0	1
     8	3.89665e-016	0	1
     9	3.8629e-016	0	1
    10	3.80014e-016	0	1
    11	3.69266e-016	0	1
    12	3.53841e-016	0	1
    13	3.36319e-016	0	1
    14	3.20057e-016	0	1
    15	3.06629e-016	0	1
    16	2.96011e-016	0	1
    17	2.87642e-016	0	1
    18	2.80958e-016	0	1
    19	2.7552e-016	0	1
    20	2.71013e-016	0	1
    21	2.67213e-016	0	1
    22	2.76211e-016	0	1
    23	2.04363e-016	0	1
    24	2.0243e-016	0	1
    25	2.67136e-016	0	1
    26	2.54618e-016	0	1
    27	2.53566e-016	0	1
    28	2.5794e-016	0	1
    29	2.93561e-016	0	1
    30	3.64361e-016	0	1
    31	3.90526e-016	0	1
    32	3.94211e-016	0	1
    33	3.94567e-016	0	1
    34	3.9454e-016	0	1
    35	3.94477e-016	0	1
    36	3.94417e-016	0	1
    37	3.94364e-016	0	1
    38	3.94316e-016	0	1
    39	3.94274e-016	0	1
    40	3.94235e-016	0	1
    41	3.94201e-016	0	1
    42	3.9417e-016	0	1
    43	3.94141e-016	0	1
    44	3.94116e-016	0	1
    45	3.94092e-016	0	1
    46	3.94071e-016	0	1

Measurement: i_avg
  step	AVG(ig(m1))	FROM	TO
     1	1.2481e-016	0	1
     2	-2.47435e-017	0	1
     3	-2.47362e-017	0	1
     4	-2.47243e-017	0	1
     5	-2.47044e-017	0	1
     6	-2.46701e-017	0	1
     7	-2.4609e-017	0	1
     8	-2.44965e-017	0	1
     9	-2.4285e-017	0	1
    10	-2.38916e-017	0	1
    11	-2.32174e-017	0	1
    12	-2.22488e-017	0	1
    13	-2.11474e-017	0	1
    14	-2.01244e-017	0	1
    15	-1.92794e-017	0	1
    16	-1.86112e-017	0	1
    17	-1.80845e-017	0	1
    18	-1.76639e-017	0	1
    19	-1.73217e-017	0	1
    20	-1.70381e-017	0	1
    21	-1.67991e-017	0	1
    22	-1.01162e-016	0	1
    23	7.41179e-019	0	1
    24	7.33525e-019	0	1
    25	-8.44409e-017	0	1
    26	-1.60067e-017	0	1
    27	-1.59401e-017	0	1
    28	-1.62114e-017	0	1
    29	-1.84351e-017	0	1
    30	-2.28898e-017	0	1
    31	-2.45474e-017	0	1
    32	-2.47813e-017	0	1
    33	-2.4804e-017	0	1
    34	-2.48023e-017	0	1
    35	-2.47984e-017	0	1
    36	-2.47946e-017	0	1
    37	-2.47912e-017	0	1
    38	-2.47882e-017	0	1
    39	-2.47856e-017	0	1
    40	-2.47831e-017	0	1
    41	-2.4781e-017	0	1
    42	-2.4779e-017	0	1
    43	-2.47772e-017	0	1
    44	-2.47756e-017	0	1
    45	-2.47741e-017	0	1
    46	-2.47728e-017	0	1

Measurement: i_max
  step	MAX(ig(m1))	FROM	TO
     1	1.15293e-015	0	1
     2	1.15272e-015	0	1
     3	1.15238e-015	0	1
     4	1.15182e-015	0	1
     5	1.15089e-015	0	1
     6	1.14928e-015	0	1
     7	1.14643e-015	0	1
     8	1.14117e-015	0	1
     9	1.13128e-015	0	1
    10	1.11289e-015	0	1
    11	1.0814e-015	0	1
    12	1.03621e-015	0	1
    13	9.84894e-016	0	1
    14	9.37278e-016	0	1
    15	8.9796e-016	0	1
    16	8.66872e-016	0	1
    17	8.4237e-016	0	1
